Damage event on window 0x240000a area = [0 0 1920 1019], geometry = [0 0 1920 1019], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 0 890 921], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x3000001 area = [0 0 1024 768], geometry = [896 59 1024 768], level = 0, send_event = 0
Damage event on window 0x400007 area = [0 0 645 113], geometry = [1194 584 645 113], level = 0, send_event = 0
Damage event on window 0x2a23451 area = [0 0 734 451], geometry = [127 135 734 451], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 878 579], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 575 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 341 876 38], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 17 12 20], geometry = [0 57 890 921], level = 0, send_event = 0
Damage event on window 0x2a00007 area = [0 305 876 38], geometry = [0 57 890 921], level = 0, send_event = 0
